"Date","Apple","Samsung","RIM","Google","LG","Huawei","Unknown","Motorola","HTC","Nokia","Xiaomi","Sony","OnePlus","Lenovo","Oppo","Asus","ZTE","Alcatel","BlackBerry","Vivo","Acer","Nintendo","Realme","Mobicel","Infinix","Tecno","Micromax","BBK","HP","Blu","Essential","Honor","Kyocera","General Mobile","Other"
2011-01,82.7,1.64,8.55,0.4,0.16,0,0,0.06,0.13,3.17,0,2.43,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.36
2011-02,69.95,1.67,13.18,0.31,0.21,0,0,0.08,0.14,11.26,0,2.6,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2011-03,73.43,1.7,15.78,0.36,0.21,0,0,0.07,0.17,5.43,0,2.19,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2011-04,62.7,2.63,14.38,0.28,0.23,0,0,0.06,0.17,16.64,0,2.42,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.22
2011-05,50.34,3.74,15.61,0.21,0.22,0,0,0.06,0.13,26.51,0,2.83,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.17
2011-06,40.6,4.43,17.92,0.16,0.2,0,0,0.07,0.11,33.25,0,2.98,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.14
2011-07,48.97,3.15,20.67,0.4,0.19,0,0,0.09,0.13,23.61,0,2.4,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.18
2011-08,59.98,2.27,23.79,1.01,0.16,0,0,0.14,0.17,9.96,0,2.14,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.18
2011-09,64.45,2.7,21.17,1.05,0.17,0,0,0.14,0.2,7.85,0,1.9,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.17
2011-10,67.89,2.75,17.76,0.94,1.25,0,0,0.11,2.64,4.78,0,1.58,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.12
2011-11,61.4,3.07,26.55,0.86,1.43,0,0,0.36,2.79,2.03,0,1.29,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.09
