month,Apple_units,Samsung_units,Google_units,Motorola_units,cpi_index,month_num,year,quarter,is_holiday_season,is_back_to_school,is_black_friday,is_new_year_promo,launch_apple,launch_samsung,launch_google,launch_motorola
2011-02-01,918043.386,21917.547599999998,4068.5267999999996,1049.9424000000001,118.3,2,2011,1,0,0,0,0,0,0,0,0
2011-03-01,956193.7112000001,22137.128,4687.8624,911.5288000000002,119.1,3,2011,1,0,0,0,0,0,0,0,0
2011-04-01,792171.8640000001,33228.2616,3537.6096000000007,758.0591999999999,119.6,4,2011,2,0,0,0,0,0,1,0,0
2011-05-01,597894.2208000001,44420.4288,2494.1951999999997,712.6271999999999,120.0,5,2011,2,0,0,0,0,0,1,0,0
2011-06-01,535208.6880000001,58398.386399999996,2109.1968,922.7736000000001,119.6,6,2011,2,0,0,0,0,0,0,0,0
2011-07-01,575047.8542,36990.009,4697.144,1056.8573999999999,119.8,7,2011,3,0,0,0,0,0,0,0,0
2011-08-01,759206.4468,28732.8882,12784.2366,1772.0724000000002,120.1,8,2011,3,0,1,0,0,0,0,0,0
2011-09-01,1049618.5210000002,43971.60600000001,17100.069,2280.0092000000004,120.5,9,2011,3,0,0,0,0,0,0,0,0
2011-10-01,913442.9775,37000.5625,12647.464999999998,1480.0225,120.9,10,2011,4,0,0,0,0,1,1,0,0
2011-11-01,1049721.416,52486.070799999994,14702.938400000001,6154.7184,121.0,11,2011,4,1,0,1,0,0,0,1,1
2011-12-01,1105992.6084,82414.69380000001,21180.366599999998,11324.1564,120.8,12,2011,4,1,0,0,0,0,0,0,0
2012-01-01,751457.8585,63369.31049999999,14496.247500000001,8421.6295,121.5,1,2012,1,0,0,0,1,0,0,0,0
2012-02-01,524106.0,46355.5875,10124.775000000001,5856.4875,121.4,2,2012,1,0,0,0,0,0,0,0,0
2012-03-01,557043.7152,53301.1962,11605.0774,6264.6878,121.5,3,2012,1,0,0,0,0,0,0,0,0
2012-04-01,499780.80500000005,53829.6023,17790.3626,5960.6885,121.9,4,2012,2,0,0,0,0,0,0,0,0
2012-05-01,507726.3282,90208.2792,19301.321,6501.497600000001,121.5,5,2012,2,0,0,0,0,0,1,0,0
2012-06-01,556111.9971,80037.981,23403.510899999997,7193.286899999999,121.2,6,2012,2,0,0,0,0,0,0,0,0
2012-07-01,661299.9552,106591.1112,27554.164799999995,8701.3152,121.2,7,2012,3,0,0,0,0,0,0,0,0
2012-08-01,874481.7636,152393.40180000002,34814.692,12026.8936,121.7,8,2012,3,0,1,0,0,0,0,0,0
2012-09-01,709182.8267999999,129474.77720000001,29284.478,10343.0284,121.9,9,2012,3,0,0,0,0,1,1,0,1
2012-10-01,873943.1233,161748.22819999998,35040.521100000005,12271.5749,122.2,10,2012,4,0,0,0,0,0,0,0,0
2012-11-01,824734.152,163335.328,32366.616,10652.304,122.1,11,2012,4,1,0,1,0,0,0,1,0
2012-12-01,1127489.3066,250532.38990000004,48272.8578,14407.0157,122.0,12,2012,4,1,0,0,0,0,0,0,0
2013-01-01,833822.3695000001,191780.509,34373.178,10366.514,122.1,1,2013,1,0,0,0,1,0,0,0,0
2013-02-01,645593.4,146801.6,25231.524999999998,7298.374999999999,122.9,2,2013,1,0,0,0,0,0,0,0,0
2013-03-01,559170.7429,132745.63940000001,24675.9194,6033.8927,122.8,3,2013,1,0,0,0,0,0,0,0,0
2013-04-01,423228.9015,105513.74799999999,19196.873,4833.745,122.3,4,2013,2,0,0,0,0,0,1,0,0
2013-05-01,648379.7703999999,166171.4534,29822.8948,6758.4258,122.3,5,2013,2,0,0,0,0,0,0,0,0
2013-06-01,856353.8412,223937.9478,40185.909,8194.7736,122.6,6,2013,2,0,0,0,0,0,0,0,0
2013-07-01,573077.8749,149686.7214,27340.938599999998,5015.7837,122.8,7,2013,3,0,0,0,0,0,0,0,0
2013-08-01,684802.0970000001,181172.58320000002,33942.834800000004,5621.1064,122.9,8,2013,3,0,1,0,0,0,0,0,1
2013-09-01,893685.3338,241077.00119999997,48407.3842,6445.175799999999,123.1,9,2013,3,0,0,0,0,1,1,0,0
2013-10-01,853502.1050000001,245156.282,51330.43199999999,6015.285000000001,123.0,10,2013,4,0,0,0,0,0,0,1,0
2013-11-01,947908.111,282667.45499999996,59973.3595,6431.0585,123.2,11,2013,4,1,0,1,0,0,0,1,1
2013-12-01,963013.7580000001,288676.1052,62022.038400000005,5928.577200000001,123.6,12,2013,4,1,0,0,0,0,0,0,0
2014-01-01,749085.4417704944,242213.90406693603,45853.685204961206,3135.873223067619,123.9,1,2014,1,0,0,0,1,0,0,0,0
2014-02-01,525917.1028679444,215543.8760881639,44644.00504501595,4173.348024178939,124.3,2,2014,1,0,0,0,0,0,0,0,0
2014-03-01,439011.1991467907,189519.9677244935,38458.91075219843,4887.193788082323,124.5,3,2014,1,0,0,0,0,0,0,0,0
2014-04-01,377253.5634429076,177442.88679167588,37498.9186495253,5264.493948150658,125.0,4,2014,2,0,0,0,0,0,1,0,0
2014-05-01,476640.4216977679,206581.39877781557,53270.931636675945,8023.406469269836,125.1,5,2014,2,0,0,0,0,0,0,0,1
2014-06-01,541503.7033876941,235756.85252022004,57813.36469615083,10206.84933631434,125.4,6,2014,2,0,0,0,0,0,0,0,0
2014-07-01,543208.749816095,212755.06501036522,54974.33426905259,14921.538891872518,125.4,7,2014,3,0,0,0,0,0,0,0,0
2014-08-01,719969.8927167864,279037.46282315225,59231.64928151975,18960.50398540032,125.5,8,2014,3,0,1,0,0,0,0,0,0
2014-09-01,1242511.8381494614,300433.7508018854,59680.925962348585,20779.590530416106,125.7,9,2014,3,0,0,0,0,1,0,0,1
2014-10-01,1180741.5996869057,389492.6716907714,112186.33918581496,41137.99302258419,125.9,10,2014,4,0,0,0,0,0,1,0,0
2014-11-01,845376.3494994051,401750.1538159817,89476.72780813661,35896.85901828987,125.7,11,2014,4,1,0,1,0,0,0,1,0
2014-12-01,720667.6378177482,393647.00988853956,67890.20750859981,35182.34976237331,125.5,12,2014,4,1,0,0,0,0,0,0,0
2015-01-01,592845.9351301626,282960.6804984339,45354.181709856726,24672.443557334096,125.1,1,2015,1,0,0,0,1,0,0,0,0
2015-02-01,598134.0083714339,297986.7795295271,57622.99167582709,21039.85634235091,125.5,2,2015,1,0,0,0,0,0,0,0,1
2015-03-01,529295.8170784281,338119.7841799614,46145.48358025427,18812.6866267233,126.1,3,2015,1,0,0,0,0,0,0,0,0
2015-04-01,467327.0233040027,270641.71369674534,47470.7015446015,17998.373163584118,125.8,4,2015,2,0,0,0,0,0,1,0,0
2015-05-01,461740.3779021636,251668.7380179617,46569.50514326216,15798.066874079152,126.3,5,2015,2,0,0,0,0,0,0,0,0
2015-06-01,395277.1189692454,211489.2911606541,31278.14361992681,13681.374504275022,126.8,6,2015,2,0,0,0,0,0,0,0,0
2015-07-01,604023.2966110348,263918.90217791783,37524.42317676892,18739.721380381958,127.1,7,2015,3,0,0,0,0,0,0,0,1
2015-08-01,726101.7584627431,349750.96607722674,50226.6863298862,25225.14970821813,127.1,8,2015,3,0,1,0,0,0,1,0,0
2015-09-01,577567.1185294554,221173.51697034607,41808.201043805384,16494.73027132287,127.0,9,2015,3,0,0,0,0,1,0,1,1
2015-10-01,697885.9067210678,304244.1486226319,56677.70287459705,27093.861333466015,127.2,10,2015,4,0,0,0,0,0,0,1,0
2015-11-01,726099.0490819291,345740.22068506945,50780.06962817422,31071.34623446032,127.3,11,2015,4,1,0,1,0,0,0,0,0
2015-12-01,840836.7565049996,411299.4250501909,53902.743006373064,35815.72333713739,127.4,12,2015,4,1,0,0,0,0,0,0,0
