iter	RMSE
0	0.3314739562
1	0.3171654572
2	0.3036574224
3	0.2912815819
4	0.2846001585
5	0.2766875569
6	0.2711526525
7	0.26119729
8	0.2566725859
9	0.2512623109
10	0.2462933946
11	0.2403671477
12	0.2403669977
13	0.234206478
14	0.2326813777
15	0.2279999253
16	0.2236040181
17	0.2214743991
18	0.2161079658
19	0.2137213764
20	0.2103968562
21	0.2069587981
22	0.2027894121
23	0.2012353321
24	0.1989500135
25	0.1964538783
26	0.1946251458
27	0.1936205739
28	0.1920504588
29	0.1917413007
30	0.1917409923
31	0.190751968
32	0.1894125676
33	0.1876066147
34	0.187084225
35	0.1870831653
36	0.1856959841
37	0.1842014868
38	0.1827538055
39	0.1818031296
40	0.1802690917
41	0.1796994271
42	0.1796983553
43	0.1785350187
44	0.177400782
45	0.1759756644
46	0.1759737218
47	0.1758968087
48	0.1751941574
49	0.1738373663
50	0.1718892047
51	0.1703887145
52	0.1695449511
53	0.1688560501
54	0.1681055498
55	0.1669272986
56	0.1654864004
57	0.1645246068
58	0.164524363
59	0.1632674461
60	0.1623987874
61	0.1623979292
62	0.1614414214
63	0.1610857862
64	0.1609008802
65	0.1604570121
66	0.1600946372
67	0.1592933242
68	0.1587811023
69	0.1577570844
70	0.1572195438
71	0.1563092584
72	0.1553859601
73	0.1551321902
74	0.1538624333
75	0.152854433
76	0.1523615536
77	0.1506334056
78	0.1496254675
79	0.148799967
80	0.1478592634
81	0.1469135193
82	0.1462274861
83	0.1456396291
84	0.1450447038
85	0.1440812956
86	0.1432171984
87	0.1427917048
88	0.1422785941
89	0.1417314952
90	0.1410772518
91	0.1402299557
92	0.1393702269
93	0.1387661539
94	0.137561968
95	0.1365413532
96	0.1362754561
97	0.1356445383
98	0.1348592169
99	0.1342518818
100	0.1334026709
101	0.1327252811
102	0.1322310121
103	0.1316777409
104	0.1308939039
105	0.1306398562
106	0.1302068561
107	0.1296462105
108	0.1286832462
109	0.1282420464
110	0.127719267
111	0.1269469241
112	0.1263540879
113	0.1259091184
114	0.1252128677
115	0.124685228
116	0.1244100017
117	0.1238261132
118	0.1235502245
119	0.1230638862
120	0.122638831
121	0.1220353819
122	0.1216923232
123	0.1215009704
124	0.1212078003
125	0.120980015
126	0.1205647767
127	0.1203535987
128	0.1199798812
129	0.1193705959
130	0.1189444377
131	0.1187989978
132	0.1183844112
133	0.1180329385
134	0.1178069634
135	0.1174641987
136	0.1170963854
137	0.1167613259
138	0.1163012451
139	0.1159684051
140	0.115606446
141	0.11538446
142	0.1150765928
143	0.114957877
144	0.1147166362
145	0.1142258363
146	0.1139147381
147	0.1137068529
148	0.1132765812
149	0.1129899261
150	0.1125430241
151	0.1118487465
152	0.1116836752
153	0.1112352327
154	0.1108220967
155	0.1105563235
156	0.1101650147
157	0.1099272781
158	0.1097305147
159	0.109486236
160	0.109071612
161	0.1087420122
162	0.1085366438
163	0.1079547745
164	0.1075518711
165	0.1069831616
166	0.1068306523
167	0.1066398241
168	0.1065741804
169	0.1063266646
170	0.1060474311
171	0.105601358
172	0.1053921189
173	0.1051319557
174	0.1048558296
175	0.1045160513
176	0.1042844345
177	0.1035532986
178	0.1033484297
179	0.1029374023
180	0.1026822665
181	0.1025329117
182	0.1021873402
183	0.1020800994
184	0.1017298751
185	0.1016105453
186	0.1014464931
187	0.1013902263
188	0.1012090967
189	0.1009045993
190	0.1007631664
191	0.1003787943
192	0.100084682
193	0.09987742611
194	0.0994231754
195	0.09929155889
196	0.09914621185
197	0.09873215728
198	0.0984353174
199	0.09812744265
200	0.09784906563
201	0.09752462295
202	0.09735868036
203	0.09679936438
204	0.09665496993
205	0.09647329652
206	0.09633778225
207	0.09603774563
208	0.09565832996
209	0.09547394807
210	0.09522114226
211	0.09496453736
212	0.09490633634
213	0.09471505892
214	0.09458024762
215	0.09416068331
216	0.09407654425
217	0.09375359521
218	0.09358956559
219	0.09325905229
220	0.09311860447
221	0.09294521098
222	0.09273864697
223	0.09270570756
224	0.09212809142
225	0.09207655343
226	0.09202164914
227	0.09180711097
228	0.09175564854
229	0.09147564096
230	0.09135498891
231	0.09123011914
232	0.09086132788
233	0.09082320456
234	0.09075252383
235	0.09038999241
236	0.09022695859
237	0.0900704675
238	0.08973199804
239	0.08941281888
240	0.08892627641
241	0.08863805851
242	0.08834890742
243	0.08826138753
244	0.08822379462
245	0.08811643669
246	0.08799151441
247	0.08768497786
248	0.08748061727
249	0.08721175522
250	0.08703985
251	0.08692334767
252	0.08667041869
253	0.08615172867
254	0.08598999744
255	0.08594388942
256	0.08535670219
257	0.08524954384
258	0.08520403529
259	0.0850449996
260	0.08486275868
261	0.08470176589
262	0.08460122335
263	0.08439518551
264	0.08416884555
265	0.08409300897
266	0.08388679995
267	0.0838108057
268	0.08366695267
269	0.08341174908
270	0.08325437079
271	0.08321437279
272	0.08302579101
273	0.08293540176
