iter	Passed	Remaining
0	35	15334
1	73	15921
2	113	16431
3	154	16702
4	195	16893
5	231	16647
6	262	16122
7	302	16222
8	330	15736
9	372	15897
10	413	16027
11	433	15352
12	444	14496
13	471	14246
14	513	14451
15	553	14574
16	583	14419
17	612	14255
18	651	14331
19	698	14558
20	742	14702
21	779	14711
22	821	14790
23	861	14827
24	899	14821
25	918	14516
26	961	14603
27	998	14582
28	1069	15040
29	1088	14772
30	1098	14389
31	1140	14430
32	1178	14433
33	1206	14299
34	1234	14182
35	1244	13864
36	1282	13863
37	1321	13871
38	1359	13875
39	1396	13863
40	1437	13883
41	1477	13897
42	1487	13630
43	1524	13619
44	1562	13613
45	1602	13624
46	1612	13380
47	1631	13223
48	1675	13266
49	1714	13273
50	1756	13294
51	1798	13313
52	1836	13309
53	1871	13272
54	1910	13272
55	1955	13302
56	1996	13307
57	2025	13237
58	2035	13038
59	2072	13024
60	2109	13004
61	2128	12874
62	2155	12796
63	2192	12776
64	2212	12659
65	2255	12680
66	2292	12661
67	2312	12550
68	2351	12539
69	2369	12424
70	2405	12400
71	2443	12388
72	2482	12377
73	2502	12273
74	2546	12289
75	2592	12314
76	2645	12370
77	2685	12360
78	2724	12346
79	2764	12335
80	2803	12321
81	2843	12309
82	2885	12305
83	2926	12298
84	2968	12291
85	3006	12271
86	3043	12244
87	3061	12142
88	3100	12123
89	3142	12115
90	3204	12185
91	3260	12227
92	3319	12278
93	3369	12293
94	3418	12306
95	3476	12349
96	3526	12359
97	3574	12363
98	3618	12353
99	3672	12375
100	3728	12402
101	3777	12406
102	3825	12406
103	3876	12413
104	3925	12412
105	3972	12403
106	4022	12404
107	4077	12421
108	4127	12420
109	4177	12418
110	4226	12413
111	4277	12411
112	4327	12409
113	4376	12399
114	4424	12388
115	4475	12383
116	4525	12376
117	4572	12362
118	4623	12355
119	4679	12361
120	4740	12380
121	4792	12373
122	4842	12361
123	4893	12351
124	4942	12336
125	5007	12360
126	5062	12356
127	5114	12347
128	5168	12340
129	5238	12369
130	5285	12345
131	5329	12315
132	5374	12283
133	5426	12271
134	5473	12245
135	5518	12213
136	5572	12202
137	5628	12195
138	5679	12177
139	5727	12151
140	5777	12129
141	5825	12101
142	5874	12077
143	5921	12049
144	5977	12036
145	6045	12050
146	6095	12026
147	6145	12000
148	6193	11971
149	6241	11942
150	6290	11914
151	6341	11889
152	6390	11861
153	6437	11829
154	6485	11800
