month,Apple_forecast,Apple_lower,Apple_upper,Samsung_forecast,Samsung_lower,Samsung_upper,Google_forecast,Google_lower,Google_upper,Motorola_forecast,Motorola_lower,Motorola_upper
2025-12-01,1009457.6938346706,769611.2911343544,1249304.0965349867,361058.73051316355,287669.0428324917,434448.4181938354,126593.14689659893,66672.87801058621,186513.41578261164,23919.700337500723,20488.24932873241,27351.151346269035
2026-01-01,742052.3913873059,596089.9023979004,888014.8803767115,252515.09867443255,219876.21816974194,285153.9791791231,127948.37468128397,65831.28039607212,190065.46896649583,23018.927846658175,19813.49088088851,26224.36481242784
2026-02-01,737881.583462434,583581.7263654077,892181.4405594603,284952.582797562,229749.2272449403,340155.9383501837,126228.51461464092,73985.0682806393,178471.96094864255,21036.185000982652,18901.596098983224,23170.77390298208
2026-03-01,655620.8515993186,508382.6927589838,802859.0104396533,190967.56481214717,169539.80020491945,212395.3294193749,100343.48286181415,68127.88490578,132559.0808178483,16332.364586016965,14972.947785541799,17691.78138649213
2026-04-01,579048.4324022111,470768.06137694785,687328.8034274743,204403.61240043226,184206.5409124114,224600.68388845312,111358.05202403589,75904.08605085537,146812.0179972164,17130.127138397045,15839.861344714333,18420.392932079758
2026-05-01,557405.3800897984,451457.576697264,663353.1834823327,193136.54834979394,173423.98832560066,212849.10837398723,96943.16398409399,65762.84859862912,128123.47936955886,14955.05284488545,13805.07740545395,16105.028284316948
2026-06-01,560089.3796041339,454951.9852882999,665226.7739199679,189585.45211641162,171938.77252770605,207232.13170511718,89483.9376989041,60090.80606756384,118877.06933024437,14156.675011501713,13162.455998457626,15150.8940245458
2026-07-01,602757.070762448,488571.8503170934,716942.2912078026,239061.12046885738,206293.9300767258,271828.3108609889,98332.7970770365,64286.298206372885,132379.29594770013,17653.041441268393,15642.998752657264,19663.08412987952
2026-08-01,636564.6035211722,504526.1969687677,768603.0100735767,238784.93115238752,202560.37635102437,275009.48595375067,106424.00813060977,22593.77610117686,190254.24016004268,16973.46229321237,14848.768789384101,19098.15579704064
2026-09-01,716462.9325635643,525240.7012604927,907685.1638666359,255731.2220777259,211469.56242036985,299992.8817350819,119678.93953556482,62154.68323807848,177203.19583305114,18164.682522167623,15853.977149908604,20475.387894426643
2026-10-01,742149.1894576991,596346.1479680184,887952.2309473797,240083.5658411928,212375.2361765947,267791.8955057909,100065.86284571092,52739.71461528311,147392.0110761387,21033.070566075316,19085.095060462554,22981.046071688077
2026-11-01,943421.4492705062,718645.8146232392,1168197.083917773,390143.17294597084,314775.74959353206,465510.5962984096,124873.06769449,59589.72611708574,190156.40927189426,24188.772462635618,20641.59189966709,27735.953025604143
